StartSample,EndSample
2144,3623
3929,5102
11936,13364
17342,18668
22042,23470
26530,27754
33517,35149
36016,37444
42144,44184
51222,53619
62603,64082
67652,68825
72854,74282
77750,78974
82654,83929
90712,92497
98923,100359
103011,104490
107652,108876
112242,113721
117138,118413
122654,124184
126377,127499
133007,134588
135710,136832
145816,147754
155149,157291
164541,165918
167703,169233
172803,174231
178413,180257
181175,182603
187499,189029
189590,190814
196934,198464
208060,209743
215608,216985
219688,221328
223419,224745
231018,232548
233211,234537
240308,241991
242399,243725
249845,251222
251681,252803
258872,260359
261787,262858
269182,270814
278719,280359
281277,282654
287754,289335
293313,294588
299739,300767
309539,310661
319637,321430
329182,330661
336832,338821
345459,348111
354690,357495
365867,367346
373415,376322
384286,385714
401481,402705
404184,405612
415965,417036
424490,426020
427601,428876
436730,438311
440767,442093
446326,447856
452191,453517
459127,460359
462501,463776
470304,471681
473007,474027
483113,484337
491018,492242
493007,494384
503725,505204
527142,528621
547346,548672
554384,555710
566938,568264
576730,578158
587652,589029
599637,601022
616118,617393
623470,624745
635710,637138
645561,647142
655353,656985
667397,668723
677750,679025
686734,688060
691528,692701
696679,697954
702246,703470
705867,707346
719688,720818
734435,735710
749029,750508
753619,754945
768366,769692
772956,774384
778107,779382
787040,788774
796271,798617
814231,815455
823215,824694
833925,835404
843419,844745
848723,849998
852905,854333
863062,864133
874027,875200
885000,886326
891222,892497
892752,893874
947601,948723
964847,967244
972701,974282
978107,980257
982909,984490
997036,999178
1008009,1009539
1018005,1020971
1028978,1030712
1039637,1041277
1051222,1052293
1059637,1060869
1071936,1073517
1084541,1086020
1094690,1096322
1104184,1105918
1114894,1116577
1143062,1144643
1152956,1154588
1164184,1165765
1176016,1177750
1179688,1180716
1183929,1185663
1192752,1194435
1201481,1203215
1211273,1212854
1219637,1221532
1229845,1231375
1247703,1249386
1259637,1260920
1268927,1270610
1278923,1280359
1289080,1291069
1298311,1300308
1313262,1314843
1321787,1323266
1342093,1343674
